"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"58",79,78,61.3256020009976,17200.6,-0.164746741854196,16899,301.599999999999,1,3,"none",104.4,197.4,0.345924453280318,0.654075546719682
"59",80,79,30.2598247282499,17452.6,-0.164483032277903,17200.6,252,0,2,"none",59,193.2,0.233941316415543,0.766058683584457
"60",81,80,17.0291923481184,17544.6,-0.120718037936439,17452.6,92,0,2,"none",54.6,37.6,0.592190889370933,0.407809110629067
"61",82,81,56.6305606659508,18093.4,-0.232250775098182,17544.6,548.800000000003,0,4,"none",71,478,0.129326047358834,0.870673952641166
"62",83,82,44.237086065541,18313.4,-0.104235372854438,18093.4,220,1,2,"none",75.8,144.4,0.344232515894641,0.655767484105359
"63",84,83,47.8458102825354,18746.2,0.161127885633544,18313.4,432.799999999999,1,6,"none",60.2,372.8,0.139030023094688,0.860969976905312
"64",86,85,47.7263904007756,19043,-0.0384228398117508,18746.2,296.799999999999,1,4,"sink-assisted speed?",119.8,177.2,0.403367003367003,0.596632996632997
"65",88,87,40.7204946994803,19583.8,-0.15868480201865,19043,540.799999999999,0,6,"none",203.6,337.4,0.37634011090573,0.62365988909427
"66",89,88,44.6342707451545,19932.6,0.108840819769126,19583.8,348.799999999999,0,3,"none",68.4,280.6,0.195988538681948,0.804011461318052
"67",91,90,54.8833385731725,20855.8,-0.114481252880855,19932.6,923.200000000001,1,8,"none",198.6,724.8,0.215074723846654,0.784925276153346
"68",92,91,53.777377856127,21076.6,0.123153105661516,20855.8,220.799999999999,1,4,"none",85.4,135.6,0.386425339366516,0.613574660633484
"69",96,95,46.2982680431445,21389.4,0.0100048188704345,21076.6,312.800000000003,1,3,"none",158.4,154.6,0.506070287539936,0.493929712460064
"70",97,96,53.7672622414154,21789.4,0.110495851249143,21389.4,400,1,5,"none",92.8,307.4,0.231884057971014,0.768115942028985
"71",99,98,64.7217176246841,22078.2,-0.123496743178341,21789.4,288.799999999999,1,3,"none",139,150,0.480968858131488,0.519031141868512
"72",100,99,56.8195701184506,22327,0.247463336151514,22078.2,248.799999999999,1,6,"none",45,204,0.180722891566265,0.819277108433735
"73",102,101,58.0915064698965,22690.2,0.199076285295702,22327,363.200000000001,1,4,"none",158,205.4,0.434782608695652,0.565217391304348
"74",106,105,63.2805404038728,22974.2,0.0492882783499402,22690.2,284,1,1,"none",104.6,179.6,0.368050668543279,0.631949331456721
"75",107,106,19.7950114404975,23033.4,-0.129016058791549,22974.2,59.2000000000007,0,1,"none",33.4,26,0.562289562289562,0.437710437710438
"76",108,107,54.8416671849063,23167,-0.0916473410178782,23033.4,133.599999999999,0,2,"none",41.4,92.4,0.309417040358744,0.690582959641256
"77",109,108,63.7839852773972,23654.2,-0.0744456126331583,23167,487.200000000001,0,6,"none",153.8,333.6,0.315551908083709,0.684448091916291
"78",110,109,62.3249387800444,23833.4,1.85488079321081,23654.2,179.200000000001,1,4,"none",26.4,153,0.147157190635452,0.852842809364548
"79",114,113,57.8983340511652,24155,-0.050457124116345,23833.4,321.599999999999,1,3,"none",199,122.8,0.618396519577377,0.381603480422623
"80",115,114,62.0990151791358,24627.8,0.0248597987744523,24155,472.799999999999,1,7,"none",158,315,0.334038054968288,0.665961945031712
"81",116,115,63.7178435313934,24827.8,0.172888654576859,24627.8,200,1,5,"none",68.4,131.8,0.341658341658342,0.658341658341658
"82",118,117,63.6043433353692,25149.4,-0.114800911830478,24827.8,321.600000000002,1,4,"none",121,200.8,0.376009944064636,0.623990055935364
"83",120,119,56.5730970303174,25483.8,-0.0929678601330119,25149.4,334.399999999998,1,4,"none",200.6,134,0.599521817095039,0.400478182904961
"84",121,120,64.1809352092307,25762.2,-0.0888976605522533,25483.8,278.400000000001,0,3,"none",53.8,224.8,0.19310839913855,0.80689160086145
"85",122,121,60.6417474834353,26289.4,-0.13721885854131,25762.2,527.200000000001,0,4,"none",23.8,503.6,0.0451270383010997,0.9548729616989
"86",124,123,57.7977260980104,26739,0.0118026345741511,26289.4,449.599999999999,1,NA,"none",185.6,264.2,0.412627834593153,0.587372165406847
"87",125,124,45.0375182964528,27147,-0.0762537044929319,26739,408,0,4,"none",89.4,318.8,0.219010289073983,0.780989710926017
