"","X","p","tempr","pitch","roll","head","flownoise","Aw1","Aw2","Aw3","speedFN","speedSP","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"138359",138359,16.9196136071423,5.3605119719987,79.8179698201239,-61.9067686347748,-81.3869878840137,-70.1081296622254,0.625140908032342,-0.659362545311181,0.351966716095111,2.33675932193662,NA,138359,27671.8,-0.251124060419118,4.99291717494086,"121","lunge",3.53711386127629,20.7399624495145,2.40002350836982,1.05177849304428,1.34824501532554,17.2028485882382,"mn13_110a"
"138557",138557,14.2780687588038,5.42751373752077,39.5210668964346,-59.4923553203194,166.558825724359,-68.8229004438062,0.295668291504682,-0.709089714800728,0.41781321016472,2.12817578824681,NA,138557,27711.4,-1.23047895086798,5.82717922613204,"122","lunge",4.28505809687353,16.1870620093392,2.24599016914726,1.04347093665009,1.20251923249717,11.9020039124657,"mn13_110a"
"138831",138831,17.0612304335024,5.49369712886107,75.7419113029042,-74.0726916029244,-123.001200413395,-73.4698882808469,0.558471345536324,-0.690569862076691,0.19706989634722,2.06651914824033,NA,138831,27766.2,-0.885220158233343,3.17877274372874,"123","lunge",3.11809634334713,20.2919661351943,2.1402134250278,1.15467250210879,0.98554092291901,17.1738697918472,"mn13_110a"
"139110",139110,17.2937410033629,5.48222168490575,74.95764183916,-66.7028783753074,-101.005542245765,-74.4489373699707,0.628766865904595,-0.753190451568063,0.324330200070815,1.93092265411344,NA,139110,27822,0.327153721025181,3.78251332644214,"124","lunge",3.51041719282694,19.3379199014961,2.14313763879578,1.04970482825989,1.09343281053589,15.8275027086692,"mn13_110a"
"139342",139342,16.0165949709273,5.539437450832,52.0748874011279,-73.9779019149381,-139.121949093907,-65.7299781808742,0.389186596723931,-0.765684223229889,0.219876047188601,2.49771596786344,NA,139342,27868.4,-1.11193887473785,8.8823151113234,"125","lunge",4.14148861651875,19.2891647091011,2.50826700029905,1.09740457690416,1.41086242339489,15.1476760925824,"mn13_110a"
"139615",139615,15.860032874486,5.50361881680604,140.745919295367,-82.7540647591215,93.2754739050522,-74.7120951361559,1.0020185404322,-0.354481980702666,0.0450702488291038,1.83807335822282,2.11882054421182,139615,27923,0.625938596974373,5.44475436093803,"125","lunge",3.19384414308379,18.7106710911085,1.84972256598782,1.24114717402898,0.60857539195884,15.5168269480247,"mn13_110a"
"139886",139886,14.3848251439435,5.43108654083809,36.6290603897742,-62.0654472008064,-12.06248256428,-65.6391870892874,0.300662151368276,-0.802508131568307,0.425526016284483,2.65468628420124,NA,139886,27977.2,-0.423528484617438,8.01686964654942,"126","lunge",4.43413256598735,17.5903051773284,2.71763473446481,1,1.75202690130259,13.156172611341,"mn13_110a"
"140190",140190,16.7141421112606,5.40924242174162,82.6916597946452,-84.6023157926452,-88.2119768782515,-62.8201856476721,0.642079809165696,-0.726450552999732,0.0686401711558567,2.64878009148048,NA,140190,28038,-0.274967777184393,5.3066390621995,"126","lunge",4.1901553612118,20.088377897399,2.69233110610036,1.02875032640507,1.66358077969529,15.8982225361872,"mn13_110a"
"140449",140449,16.4175769412012,5.35019201138907,97.0023898416424,-46.1654156004508,122.220389835125,-73.2567146953351,0.675914314515274,-0.431343471686479,0.414143605497907,2.08167439218431,2.13914618671105,140449,28089.8,-0.956550282331149,4.77938173793512,"126","lunge",1.85447920438573,19.6929910826354,2.16503711420228,1.1601649532809,1.00487216092138,17.8385118782497,"mn13_110a"
"140778",140778,14.8572703229725,5.34247210113416,46.3697749469004,-60.6403346622408,-87.5660743625735,-68.1858230430927,0.357812922640763,-0.728142908268035,0.409612369946145,2.41211544856196,NA,140778,28155.6,-0.893896899281135,6.31616610452546,"127","lunge",2.4580663689447,18.1877172179496,2.45522625740639,1.11474828725014,1.34047797015625,15.7296508490049,"mn13_110a"
