,X,Temp,Aw.1,Aw.2,Aw.3,pitch,roll,roll2,n2,head,head2,JigRMS,speedFN,speedJJ,speedFNexp,speedSP,rollrate,TspeedFN,TspeedJJ,p,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
127504,144003,4.833684151,1.450461905,0.429295601,-0.198129291,143.8909134,-65.22564506,-6.6800343266632+0i,1,134.4553081,-0.79490483,-14.78938864,4.426306169,5.202182674,5.825039507,5.200611972,-0.055678547,4.426306169,5.202182674,58.03990474,127504,25500.8,5.154164095,16.1590866,101,lunge,31.72765785,64.95921625,4.619708823,1,3.896921363,33.2315584,mn14_113b,4/23/2014 19:39,57.657993,-134.010839
128850,145349,4.750470228,1.054800765,0.309920639,-0.057905864,146.7168026,-79.41682788,-0.0911318351724413+0i,1,-147.3740541,0.569430177,-12.08346045,4.600727567,5.808941264,6.333108519,5.677530109,0.064737992,4.600727567,5.808941264,53.36336285,128850,25770,0.989614512,11.88265271,102,lunge,26.22074064,59.88964757,4.685617984,1.987927172,2.697690812,33.66890693,mn14_113b,4/23/2014 19:43,57.656962,-134.007693
132463,148962,5.03078972,0.905189846,-0.027048498,-1.05133207,81.43771401,1.473771231,-0.00965401507239277+0i,1,105.1624575,-1.306161521,-15.62347506,4.322960857,5.028253859,5.543452061,NA,0.045866228,4.322960857,5.028253859,63.25693464,132463,26492.6,3.800936117,11.50288418,104,lunge,46.49331295,63.33564674,4.45374564,1,3.571918861,16.84233379,mn14_113b,4/23/2014 19:55,57.654314,-133.997782
132792,149291,4.868121807,1.062299887,0.037288995,-0.704848749,112.7967026,-3.028326515,-0.0125705696315472+0i,1,92.57679405,-1.525822787,-15.55258859,3.972825769,5.042806654,4.686785807,NA,-0.029877888,3.972825769,5.042806654,63.97439274,132792,26558.4,2.700897957,10.68040789,104,lunge,43.67750077,66.36946335,4.058899297,1.23461042,2.824288877,22.69196258,mn14_113b,4/23/2014 19:57,57.653825,-133.996986
133614,150113,4.691047729,0.823838947,0.161222055,-0.644121856,102.2642336,-14.05228223,0.0910067103668993+0i,1,-51.96677341,2.234601356,-24.11633365,3.527603041,3.556656667,3.785914055,3.102228502,-0.036718228,3.527603041,3.556656667,64.68774205,133614,26722.8,0.569861442,6.250083494,104,lunge,35.94610612,66.79982991,3.527603041,1.621618372,1.905984669,30.85372379,mn14_113b,4/23/2014 19:59,57.654207,-133.995417
135784,152283,4.884738257,0.157172494,-0.119762216,-0.92793322,19.07168656,7.354134388,-0.106255024686407+0i,1,-54.60476914,2.188559645,-23.21899635,3.723938846,3.689183619,4.159602463,NA,0.048636618,3.723938846,3.689183619,65.75744225,135784,27156.8,-0.502695833,11.33483592,109,lunge,49.13505018,65.97100138,3.89976266,1,3.065770335,16.8359512,mn14_113b,4/23/2014 20:06,57.655186,-133.998131
136219,152718,4.758989765,0.003180218,-0.161362126,-0.890628247,0.402622333,10.26932911,-0.132267723683837+0i,1,-105.2188226,1.305177764,-22.61658829,3.53968492,3.780911904,3.80790795,NA,0.013171015,3.53968492,3.780911904,65.2851403,136219,27243.8,-0.93032326,7.539871358,109,lunge,40.7727515,65.76776605,3.806983861,2.107135223,1.699848638,24.99501455,mn14_113b,4/23/2014 20:08,57.655476,-133.999519
136903,153402,4.643277704,0.110823097,-0.110896779,-0.761724382,16.3853817,8.283295934,-0.0963926557182231+0i,1,-80.51020184,1.73642455,-16.33991102,4.057283924,4.883508205,4.880462702,NA,0.062604533,4.057283924,4.883508205,57.85561188,136903,27380.6,-2.18010279,13.77814798,109,lunge,40.22659823,59.09261255,4.057283924,1,3.702297708,18.86601432,mn14_113b,4/23/2014 20:10,57.655919,-134.003187
138352,154851,4.892481578,0.083096623,-0.168399664,-0.913643914,10.2223411,10.44334874,-0.144633695597524+0i,1,-170.3668866,0.168129545,-15.62898955,4.058265498,5.027123513,4.882760038,NA,0.077635284,4.058265498,5.027123513,53.70995592,138352,27670.4,-0.6595701,12.09974255,110,lunge,37.04936855,55.14494837,4.112745526,1.16758266,2.945162866,18.09557982,mn14_113b,4/23/2014 20:15,57.654732,-134.003043
140308,156807,4.825294568,0.856753923,0.361471782,-0.86120321,85.06079199,-22.7691954,0.179181921431305+0i,1,45.46327371,-2.348108839,-15.19038022,4.061762307,5.117827086,4.89095298,NA,-0.022611796,4.061762307,5.117827086,59.02483738,140308,28061.6,2.622520054,11.67937038,112,lunge,41.90354776,60.06503853,4.417244427,1.080428468,3.336815959,18.16149077,mn14_113b,4/23/2014 20:22,57.652168,-133.996337
