"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"95",95,127,126,23.0486425052139,28111.8,-0.143141796880776,27947.8,164,3,1,"none",76,88.2,0.46285018270402,0.537149817295981
"96",96,128,127,22.4220523455288,28178.2,-0.143605841286719,28111.8,66.4000000000015,1,1,"none",27.2,39.4,0.408408408408408,0.591591591591592
"97",97,129,128,21.4085223108008,28235,-0.107316887262929,28178.2,56.7999999999993,1,1,"none",26.2,30.8,0.459649122807018,0.540350877192982
"98",98,130,129,23.1268630641593,28296.6,-0.101797780588623,28235,61.5999999999985,1,1,"none",29.4,32.4,0.475728155339806,0.524271844660194
"99",99,131,130,20.134311172652,28349.4,-0.0882229010708802,28296.6,52.8000000000029,1,1,"none",29.4,23.6,0.554716981132075,0.445283018867925
"100",100,132,131,23.0015084715408,28411,-0.155867611042925,28349.4,61.5999999999985,1,1,"none",27.8,34,0.449838187702265,0.550161812297735
"101",101,133,132,24.3306903956048,28525.4,-0.100109032293942,28411,114.400000000001,2,1,"none",44.6,70,0.389179755671902,0.610820244328098
"102",102,134,133,23.4813672078548,28651.8,-0.0959508799225972,28525.4,126.399999999998,2,1,"none",52,74.6,0.410742496050553,0.589257503949447
"103",103,135,134,26.3468727327089,28847,-0.084297374084306,28651.8,195.200000000001,2,1,"none",52.8,142.6,0.27021494370522,0.72978505629478
"104",104,136,135,16.747634904438,28899.8,-0.0965971560941448,28847,52.7999999999993,1,1,"none",38,15,0.716981132075472,0.283018867924528
"105",105,137,136,18.8742999283803,28946.2,-0.140431782656449,28899.8,46.4000000000015,1,1,"none",26.2,20.4,0.562231759656652,0.437768240343348
"106",106,138,137,18.3924627876994,28994.2,-0.0800416963078856,28946.2,48,1,1,"none",27,21.2,0.560165975103734,0.439834024896266
"107",107,139,138,18.2475293905872,29037.4,-0.100838695397165,28994.2,43.2000000000007,1,1,"none",27,16.4,0.622119815668203,0.377880184331797
"108",108,140,139,21.3126068301399,29092.6,-0.108202175846179,29037.4,55.1999999999971,1,1,"none",31,24.4,0.55956678700361,0.44043321299639
