"","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","ans","head2","p2","pitch2","roll2","speedJJ","r","sec","p","pitch","roll","head","MSA","jerk","dive","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"14982",14982,0.699507477156763,-0.221911407445132,0.954959188548788,-42.3952869595511,2.16158603942865,1.61795239874958,156.190364469042,0.61972180678215,-0.228325637400678,2.16158603942865,14982,2996.4,156.190364469042,71.0148880016782,-13.0820953776932,92.7018439014185,2.00416608118963,9.64575983870853,"6",2.16158603942865,"lunge",150.36468226579,156.523953469852,2.97186148858179,1.03164646144059,1.9402150271412,6.15927120406198,"mn12_262a"
"15355",15355,-0.286545987855384,0.0228146212580038,0.904619521396818,-40.7708355622305,2.31212772103091,-0.636867613004519,158.360129766808,-0.306668335488624,0.0252147841675846,2.31212772103091,15355,3071,158.360129766808,-35.1416026676004,1.44470071413589,-36.4898263337299,-0.49825557206114,9.51674342652284,"6",2.31212772103091,"lunge",155.116079686575,158.780722216972,2.59844173942455,1.03858019647545,1.5598615429491,3.664642530397,"mn12_262a"
"15502",15502,0.960648588840092,-0.138766296568089,0.803713800059053,-36.9798123602665,2.70550473479723,-0.041595537542496,148.084170778872,0.866874257420706,-0.170970763112115,2.70550473479723,15502,3100.4,148.084170778872,99.3364726374875,-9.79590314645515,-2.38324874776299,2.5515099021552,13.4292573759522,"6",2.70550473479723,"lunge",139.3892981771,150.125038417154,2.90546653853067,1.10942246406021,1.79604407447046,10.735740240054,"mn12_262a"
"15716",15716,-0.391423938761829,0.072242893035995,0.836234069124734,-36.7414393209362,2.73236611608606,3.28832608674646,155.25209493502,-0.436360841704862,0.0861767910121688,2.73236611608606,15716,3143.2,155.25209493502,-50.0032691489295,4.9375664169782,188.407206433342,-0.724404651218818,15.8290766599956,"6",2.73236611608606,"lunge",152.173120634651,155.91694945756,3.27087806852612,1.07370946006578,2.19716860846034,3.74382882290899,"mn12_262a"
"15880",15880,-0.355735987029249,-0.213065326491985,0.813493174243129,-39.9727148720947,2.3898881984902,-2.11941587608496,156.130187169234,-0.40019700778373,-0.256160114206734,2.3898881984902,15880,3176,156.130187169234,-45.8591990395438,-14.676893423635,-121.43358473269,-0.852388734039106,10.8083234569869,"6",2.3898881984902,"lunge",155.009556045998,157.044074665732,3.32771317107865,1,2.36944278637332,2.034518619734,"mn12_262a"
"16041",16041,-0.0087909126195277,-0.108485873428632,1.04458320913243,-41.7860881139145,2.21685758571795,3.45735094468617,152.392094534387,-0.00837049557404826,-0.103484657446881,2.21685758571795,16041,3208.2,152.392094534387,-0.959188137651801,-5.92923411606334,198.091617426086,0.492669699652027,9.61937801120878,"6",2.21685758571795,"lunge",147.648476133929,153.645409794207,3.20159791528137,1.01524103022023,2.18635688506114,5.99693366027802,"mn12_262a"
"16212",16212,-0.456093623838924,-0.0441108330099765,0.842956214304099,-40.5897039370906,2.32955032678073,3.16723907084261,158.312953195497,-0.495384971860901,-0.0522810502326941,2.32955032678073,16212,3242.4,158.312953195497,-56.7669362436734,-2.99548352684482,181.469431468218,-0.397669694492025,8.37696655689911,"6",2.32955032678073,"lunge",156.729045056871,161.105050020794,2.83902854994027,1,1.89553314917928,4.37600496392301,"mn12_262a"
"16411",16411,0.302055492736592,-0.0961297238944429,1.13965349168344,-39.0211915141061,2.48601942740185,0.407626275681313,161.565713951361,0.258208007658739,-0.0841507598417528,2.48601942740185,16411,3282.2,161.565713951361,29.5884581506547,-4.82148338175141,23.3552652151754,1.79378598950034,11.4143562297897,"6",2.48601942740185,"lunge",159.530205431263,161.565713951361,3.00451312924189,1,2.07580849537108,2.03550852009801,"mn12_262a"
"16610",16610,0.453084639870567,-0.0747445131147175,1.07170211149406,-38.6344721078001,2.52618568373844,-1.84567275195924,161.3188672837,0.399111746248344,-0.0696309863543006,2.52618568373844,16610,3322,161.3188672837,45.7348372282528,-3.98956164143445,-105.749259049561,1.62732292494733,8.24254037084169,"6",2.52618568373844,"lunge",158.792756192167,161.408864752086,2.74901625938264,1,1.84125846140161,2.61610855991901,"mn12_262a"
"16816",16816,0.744165184934376,-0.157151232558191,0.839958939826583,-48.3193957296493,1.69099218505681,1.32042096800964,159.543751149272,0.716471171824256,-0.184955657708434,1.69099218505681,16816,3363.2,159.543751149272,82.1015485766446,-10.5971785837596,75.6545486475311,1.30567076657316,9.2583908860135,"6",1.69099218505681,"lunge",150.93057770451,160.046332448958,2.71466744050624,1.06385737501691,1.65081006548933,9.115754744448,"mn12_262a"
